"Molecule","Slope","Intercept","R_squared","LOD","LOQ"
"15:0-18:1(d7) PG",0.493114141195691,4.54859137527066,0.737571888605128,0.625,0.625
"15:0-18:1(d7) PG",1.28516521054619,6.33046786160731,0.98114692697229,0.015625,0.03125
"PG(15:0/18:1)",1.14261352698282,7.26204836084672,0.997445449152541,0.125,0.25
"PG(15:0/18:1)",1.09648372660541,7.89067689623306,0.998836443726085,0.015625,0.015625
"PI(15:0/18:1)",1.13618885060977,7.22732117623688,0.994223010790131,0.125,0.3125
"PI(15:0/18:1)",1.07574462713524,7.63772733954617,0.999091614706475,0.125,0.25
"15:0-18:1(d7) PI",1.1382963036433,7.23126151663663,0.994197499190477,0.125,0.3125
"15:0-18:1(d7) PI",1.07707161293062,7.64250594340749,0.999020079655146,0.125,0.25
"15:0-18:1(d7) PS",1.06173459998358,5.66163816558572,0.937007539000184,0.0625,0.25
"PS(15:0/18:1)",1.07479093094161,7.83512039889042,0.997318749239985,0.015625,0.015625
"PS(15:0/18:1)",1.046184823565,7.39961814177901,0.993462265987109,0.078125,0.25
"SM(d18:1/18:1)",1.09829672166892,8.6574986751909,0.999090817648856,0.015625,0.015625
"d18:1-18:1(d9) SM",1.09829672166892,8.6574986751909,0.999090817648856,0.015625,0.015625
"SQDG(16:0/18:3)",1.21252564078028,5.17381795184451,0.966993566338305,0.3125,0.5
"15:0-18:1(d7)-15:0 TAG",0.282671603866755,5.71965822539173,0.701049056482888,0.25,Inf
"15:0-18:1(d7)-15:0 TAG",0.542988307038274,8.36144219529144,0.846844967721299,0.015625,0.015625
"TG (15:0/18:1/15:0)",0.526894735669624,8.36580980000875,0.82573807057151,0.015625,0.015625
"LPA(17:1(9Z)/0:0)",1.64617142570154,8.25261481889055,0.938813170748496,0.01875,0.046875
"18:1(d7) Lyso PC",1.1627979615265,7.15605481016951,0.994745120689065,0.015625,0.015625
"LPC(17:1(9Z)/0:0)",1.08179219653357,11.5628810213227,0.988134018737449,0.00234375,0.00234375
"LPE(17:1(9Z)/0:0)",1.08349177117963,9.27589094572274,0.996113968870652,0.015,0.03
"LPG(17:1(9Z)/0:0)",1.13937497208341,8.75797670615273,0.997824228097327,0.01625,0.0325
"LPI(17:1(9Z)/0:0)",1.10730216358339,8.5998059816241,0.997890941339024,0.01625,0.0325
"LPS(17:1(9Z)/0:0)",1.11362723068039,9.10756450098239,0.998485419813942,0.00203125,0.00203125
"PC(17:0/14:1(9Z))",0.874494839480397,10.0690321629045,0.969675483386176,0.58984375,0.58984375
"PE(17:0/14:1(9Z))",1.09263757327143,9.43028781071023,0.998673642792492,0.01875,0.01875
"15:0-18:1(d7) PS",0.75195808875232,5.31416499729434,0.59475743742172,0.015625,1
"PS(17:0/14:1(9Z))",1.09487749730867,10.2698801583624,0.99834502472415,0.0028125,0.0028125
"SM(d18:1(4E)/12:0)",1.13297553340896,9.77600578719654,0.990488581137467,0.1015625,0.1015625
"Cholester (18:1)",0.0223712026257396,4.33521625975114,0.000928779191487284,0.078125,0.078125
"Cholester (18:1)",0.388325315235934,4.31539897342625,1,0.15625,Inf
"Cholester (18:1)",0.190491604545042,4.27330968714855,0.723766387996773,0.0625,Inf
"Cer(d18:1/12:0)",1.200642986826,6.60723485739874,0.994806629040668,0.028275,0.0706875
"Cer(d18:1/12:0)",1.23484682810165,7.62188620075548,0.993062717759641,0.0141375,0.0141375
"C15 Ceramide-d7",1.1956268827399,6.40939171388093,0.985192217742342,0.125,0.3125
"C15 Ceramide-d7",1.09557687451129,7.55519154836298,0.999349273331871,0.015625,0.015625
"C15 Ceramide-d7",1.12378392055415,7.65004083440441,0.999190782690728,0.015625,0.015625
"CerP(d18:1/12:0)",1.18529558463245,6.13500521231792,0.670444679211556,0.011140625,0.0713
"CerP(d18:1/12:0)",0.362272107610577,4.57754274751456,1,Inf,Inf
"18:1(d7) Chol Ester",-0.0163750570019172,4.33427256350825,0.00321329060951588,0.015625,Inf
"15:0-18:1(d7) DAG",0.16356014657991,4.13898416869115,0.113883424793812,0.078125,Inf
"15:0-18:1(d7) DAG",0.182558536468322,4.46307843017949,0.309864404283112,0.015625,0.25
