"Molecule","Precursor_Adduct","Retention_Time","Retention_Time_Std_Dev","Molecule_List","Slope","Intercept","R_squared","LOD","LOQ"
"MG(18:1)","[M+HCOO]",6.43,0.02,"MG",25739.732503888,-20677.0979782271,0.995230737792525,5,Inf
"MGDG(16:3/18:3)","[M+HCOO]",11.54,0.04,"MGDG",6053072.50284545,-550351.963357399,0.994237762937853,0.125,0.25
"PA(17:0/14:1(9Z))","[M-H]",15.38,0.23,"PA",111220658.377685,-1582961.16564037,0.998382025846796,0.009375,0.01875
"15:0-18:1(d7) PC","[M7D+HCOO]",15.8,0.05,"PC",12230018.6038261,-500710.928700361,0.998645663517754,0.078125,0.25
"PC(15:0/18:1)","[M+HCOO]",15.85,0.05,"PC",12088400.7481736,-545967.386281589,0.99888596265417,0.015625,0.15625
"15:0-18:1(d7) PC","[M7D+HCOO]",15.79,0.05,"PC",14800474.7336763,-1093961.23555957,0.997520171923259,0.078125,0.25
"PC(17:0/14:1(9Z))","[M+HCOO]",14.42,0.07,"PC",30036172.1294302,407854015.699639,0.961348625500431,0.58984375,5.8984375
"15:0-18:1(d7) PE","[M7D-H]",16.13,0.07,"PE",15235226.2410188,-675376.530866427,0.998649385168804,0.078125,0.25
"PE(15:0/18:1)","[M-H]",16.15,0.05,"PE",14155165.6326786,-673169.843862821,0.999030748095603,0.015625,0.15625
"15:0-18:1(d7) PE","[M7D-H]",16.09,0.04,"PE",21185742.7940988,-1249749.58158845,0.998546095644847,0.078125,0.25
"PE(17:0/14:1(9Z))","[M-H]",14.8,0.06,"PE",134974006.715143,16760895.9326715,0.989691271220561,0.01875,0.1875
"15:0-18:1(d7) PG","[M7D-H]",14.86,0.04,"PG",1031132.00205892,-72719.4586139865,0.998887178144612,0.125,0.25
"PG(15:0/18:1)","[M-H]",14.92,0.04,"PG",16495435.0470451,-704289.609205777,0.998607104731809,0.078125,0.25
"15:0-18:1(d7) PG","[M7D-H]",14.89,0.04,"PG",1004308.84116092,-23799.8671480144,0.995940360525961,0.078125,0.125
"PG(17:0/14:1(9Z))","[M-H]",13.51,0.03,"PG",170904899.17169,2700336.77238267,0.996040759272609,0.0140625,0.140625
"15:0-18:1(d7) PI","[M7D-H]",14.54,0.05,"PI",14960149.3488274,-1210105.51317689,0.99720042610733,0.125,0.3125
"PI(15:0/18:1)","[M-H]",14.56,0.02,"PI",13818823.9716649,-1164456.85090253,0.997135042192028,0.078125,0.25
"15:0-18:1(d7) PI","[M7D-H]",14.6,0.1,"PI",6468908.92325535,1253485.8666065,0.982155690039373,0.125,0.5
"PI(17:0/14:1(9Z))","[M-H]",13.14,0.09,"PI",133082106.369368,21157052.3628158,0.986603607381458,0.03125,0.3125
"PS(15:0/18:1)","[M-H]",14.83,0.08,"PS",9282414.76426277,-718079.4133574,0.997807733401437,0.078125,0.25
