SpecId,LipidIon,ProName,ProKey,Category,Level,PeakIdx,ObsMz,ObsIty,CalcMz,Delta(ppm),MS2RT,Quant Group
4111,Cer(d18:1_12:0)+H,NL[12:0+36.02],SPH(R1)+NH4-2H2O,C01,2,28,264.2681226,573624.875,264.2685755,-1.713766482,12.827951,
4111,Cer(d18:1_12:0)+H,NL[12:0+18.01],SPH(R1)+H-H2O,C01,2,29,282.278803,77816.40625,282.2791405,-1.195480534,12.827951,
4111,Cer(d18:1_12:0)+H,NL[12:0+18.01],SPH(R1)+NH4-H2O,C01,2,29,282.278803,77816.40625,282.2791405,-1.195480534,12.827951,
,,,,,,,,,,,,
SpecId,LipidIon,ProName,ProKey,Category,Level,PeakIdx,ObsMz,ObsIty,CalcMz,Delta(ppm),MS2RT,Quant Group
4381,PS(15:0_18:1)+H,C9 H13,C9H13,C2,2,22,121.1016782,16007.57962,121.1011765,4.143307153,14.76332093,
4381,PS(15:0_18:1)+H,C9 H15,C9H15,C2,2,24,123.1172859,17557.5977,123.1168265,3.731652087,14.76332093,
4381,PS(15:0_18:1)+H,C10 H15,C10H15,C2,2,27,135.1172766,16181.68015,135.1168265,3.331273191,14.76332093,
4381,PS(15:0_18:1)+H,C10 H17,C10H17,C2,2,28,137.1322982,8324.674332,137.1324765,-1.29990868,14.76332093,
4381,PS(15:0_18:1)+H,C11 H17,C11H17,C2,2,29,149.1330921,6944.24337,149.1324765,4.127815377,14.76332093,
4381,PS(15:0_18:1)+H,C11 H19,C11H19,C2,2,30,151.1483435,5954.251668,151.1481265,1.435906539,14.76332093,
4381,PS(15:0_18:1)+H,15:0+75.04,MG(R1)-OH,C01,2,39,299.2580938,12322.72955,299.2580715,0.0745507,14.76332093,
4381,PS(15:0_18:1)+H,18:1+75.04,MG(R2)-OH,C01,2,42,339.288806,9534.143192,339.2893715,-1.666726377,14.76332093,
4381,PS(15:0_18:1)+H,33:1+75.04,NL[PS],C0,2,47,563.503051,141406.9608,563.5033865,-0.59540338,14.76332093,
5020,PS(15:0_18:1)+H,C9 H13,C9H13,C2,2,22,121.1016782,28934.49219,121.1011765,4.143307153,14.908233,
5020,PS(15:0_18:1)+H,C9 H15,C9H15,C2,2,24,123.1172859,31736.22656,123.1168265,3.731652087,14.908233,
5020,PS(15:0_18:1)+H,C10 H15,C10H15,C2,2,27,135.1172766,29249.1875,135.1168265,3.331273191,14.908233,
