Molecule List,Molecule,Mean Best Retention Time,Stdev Best Retention Time,Cv Best Retention Time,Mean Total Area,Stdev Total Area,Cv Total Area,Precursor Mz,Precursor Adduct,9- Sum Total Area,11- Sum Total Area,13- Sum Total Area,15- Sum Total Area,18- Sum Total Area,20- Sum Total Area,22- Sum Total Area,24- Sum Total Area,26 Sum Total Area
PC,PC(O-38:5),16.07,0.02,0.20%,109232478,50298634,46%,794.605817,[M+H],164019936,112493024,5691530,121346248,138231072,100808592,169009328,66105792,105386784
Cer,Cer(d16:1_24:1),18.9,0.03,0.10%,2493646,1150155,46.10%,620.597622,[M+H],2674095,858864,2816911,3109282,2156828,598371,4022842,3654245,2551381
PC,PC(O-39:8),16.33,0.02,0.10%,31447918,14523707,46.20%,802.574517,[M+H],29018548,30786122,15577084,50061776,22202472,53808208,10024137,35107880,36445032
Cer,Cer(d18:2_24:0),19.64,0.03,0.10%,1844553,851592,46.20%,648.628922,[M+H],2119450,2045169,1172791,3098687,1229366,2168492,2359208,2226799,181014
TG,TG(33:3)+O:(s),9.96,0.03,0.30%,2922968,1352360,46.30%,607.456831,[M+H],1723390,809318,2071971,3560468,1919607,3446431,3492816,4844732,4437979
PC,PC(O-34:0),17.74,0.03,0.20%,32277841,14966617,46.40%,748.621467,[M+H],34897264,17248186,24164160,40217676,13320783,18051200,46952412,57040412,38608472
TG,TG(27:2_18:1)+OO:(s),18.86,0.01,0.10%,12014633,5575187,46.40%,808.666096,[M+NH4],15869001,3219373,16807580,11561803,6938924,4949564,16849308,17184630,14751512
PI,PI(38:0),18.11,0.03,0.20%,7713157,3590527,46.60%,912.653556,[M+NH4],10524549,8807303,1528748,8265493,1672391,9314788,8937607,11349709,9017829
TG,TG(3:0_16:0_15:2),13.58,0.05,0.40%,20602186,9621496,46.70%,607.493216,[M+H],#N/A,30881662,22279304,#N/A,21615282,7632498,#N/A,#N/A,#N/A
PC,PC(31:2),15.77,0.04,0.20%,26472679,12427213,46.90%,716.522482,[M+H],16658127,43351924,#N/A,#N/A,28284376,17596290,#N/A,#N/A,#N/A
TG,TG(3:0_15:1_18:1),13.72,0.02,0.20%,18298093,8574143,46.90%,657.506461,[M+Na],19725654,19271316,7205345,20135006,1310940,21539224,23264712,28641722,23588916
SM,SM(d34:2),14.18,0.03,0.20%,6774323,3193194,47.10%,701.559201,[M+H],9736976,4131185,11131931,4152021,2995558,6919614,#N/A,10228275,4899023
Cer,Cer(d20:0_15:0)+O:(s),16.71,0.03,0.20%,5416803,2551641,47.10%,570.545586,[M+H],1448648,7166664,6148216,8487495,6884826,3841898,8089727,4551016,2132738
TG,TG(18:1_18:2),12.42,0.05,0.40%,17187547,8114891,47.20%,655.490811,[M+Na],11296086,7189209,7022823,18675102,11840545,21829054,21929210,28723150,26182746
PI,PI(O-32:1),13.28,0.02,0.10%,3209411,1513850,47.20%,812.564741,[M+NH4],3319877,1485126,884221,4519289,3372645,1642786,4379221,5014464,4267075
Cer,Cer(d18:0_17:0),17.22,0.02,0.10%,12456229,5892201,47.30%,554.550671,[M+H],7341734,8148433,12364397,10210250,10175989,13185664,12297566,27299800,11082229
DG,DG(15:2_16:0),14.71,0.03,0.20%,3686887,1755097,47.60%,568.493551,[M+NH4],#N/A,2748953,2310713,3275896,2121345,3863250,#N/A,4228432,7259618
PC,PC(O-38:6),15.1,0.02,0.10%,8755684,4172336,47.70%,792.590167,[M+H],7239652,3308008,8018316,16671201,11040393,4446636,8867416,#N/A,10453853
TG,TG(25:1)+O:(s),6.64,0.01,0.20%,2823088,1346435,47.70%,516.38948,[M+NH4],372626,1197879,3671211,2530832,2189642,4145339,3804788,4086128,3409346
PE,PE(O-18:2_18:2),16.41,0.03,0.20%,5455613,2607836,47.80%,726.543217,[M+H],1020560,5758068,3855925,9395419,6776859,4947626,6434833,#N/A,#N/A
TG,TG(8:0_12:0_12:0),17.57,0.07,0.40%,49815522,23788355,47.80%,600.519766,[M+NH4],24516986,44665988,42578704,77827264,23707820,66058476,91112632,47178952,30692880
TG,TG(23:1_16:0)+O:(s),16.68,0.03,0.20%,7564002,3626574,47.90%,712.608581,[M+NH4],9203791,4123111,9259224,8770552,13614686,919652,6065059,9256042,6863899
MGDG,MGDG(16:0_20:1),18.16,0.03,0.10%,15139311,7271004,48%,807.59567,[M+Na],8466896,6991354,8662633,17870972,10196316,22645200,#N/A,23826616,22454502
PG,PG(16:0_16:0),15.33,0.03,0.20%,15241434,7341533,48.20%,740.543611,[M+NH4],8316732,3940497,18634160,20348446,6367695,21425798,16028919,25099926,17010732
TG,TG(36:0_16:2)+OO:(s),20.78,0.03,0.20%,7524593,3628678,48.20%,908.791296,[M+NH4],5207212,9048682,5964279,8904140,6006809,368896,11202537,8453354,12565431
MG,MG(O-21:3),4.09,0.03,0.70%,4590345,2216402,48.30%,381.336321,[M+H],1325689,1253761,4747728,5593391,3267273,7397224,5199710,6925262,5603066
PE,PE(O-15:0_17:1),15.64,0.02,0.20%,45535579,22069635,48.50%,676.527567,[M+H],32813562,#N/A,35409512,63813560,29665398,29524946,#N/A,81986496,#N/A
DGDG,DGDG(16:2_18:2),12.65,0.02,0.20%,3571417,1734931,48.60%,930.614848,[M+NH4],4516051,618179,2568408,5513164,4011340,1116743,4340118,5043965,4414789
Cer,Cer(t17:0_18:4),12.47,0.04,0.30%,7767282,3791566,48.80%,544.472421,[M+H-H2O],1547837,1125578,8181000,8592164,10962360,10712197,9185891,10850715,8747794
PC,PC(17:0_18:1),17.35,0.04,0.20%,253004622,123651386,48.90%,774.600732,[M+H],109756488,110152680,433688576,336472512,#N/A,142744672,308802752,226799104,355620192
SM,SM(d38:1),17.84,0.02,0.10%,44041849,21524721,48.90%,759.637452,[M+H],32599556,8080889,26037410,62113068,58965940,35202332,67550888,#N/A,61784712
PC,PC(42:7),17.46,0.02,0.10%,5328203,2617388,49.10%,860.616382,[M+H],4573776,7045561,2198465,6825464,5289796,426923,8054678,5420986,8118176
CL,CL(62:1),21.74,0.02,0.10%,2380042,1167863,49.10%,1345.914498,[M+Na],2637288,1952729,1878895,1110757,951661,1730428,3352900,3289045,4516680
PC,PC(36:3),16.15,0.02,0.10%,3606849,1775578,49.20%,806.567027,[M+Na],2279981,1463018,4169460,#N/A,6620647,3583237,#N/A,3524753,#N/A
LPC,LPC(20:1),5.64,0.03,0.40%,3063156,1507605,49.20%,550.386716,[M+H],185254,2315528,1278390,4145527,3194528,3730629,4682696,3823075,4212782
TG,TG(18:2_16:0),13.79,0.01,0.10%,38555614,19017620,49.30%,629.475161,[M+Na],31189886,26828656,24923432,67773944,28049370,32570282,29184238,75564392,30916326
MePC,MePC(35:7),14.7,0.04,0.30%,5752585,2838728,49.30%,777.530307,[M+H],2157444,#N/A,#N/A,7383222,4909807,#N/A,#N/A,#N/A,8559868
TG,TG(23:0_7:0_7:0),17.58,0.03,0.20%,5837073,2887395,49.50%,670.598016,[M+NH4],2004712,8017233,7286020,5343116,7089872,7391797,7589245,7804335,7326
SM,SM(d41:1),19.41,0.06,0.30%,2777399,1373859,49.50%,801.684402,[M+H],647173,3487243,3399634,3507691,376337,2696707,4437900,3548703,2895201
TG,TG(8:0_10:0_10:0),14.37,0.02,0.20%,6232733,3092572,49.60%,544.457165,[M+NH4],11108284,5885351,6797212,4019268,9902581,5718567,#N/A,4932316,1498283
TG,TG(16:0_17:0_18:1),25,0.08,0.30%,14275426,7085034,49.60%,864.801467,[M+NH4],#N/A,18396142,3913118,10711817,18176188,11852483,#N/A,11078073,25800162
TG,TG(21:2_16:0)+OO:(s),16.66,0.04,0.20%,2745159,1362231,49.60%,698.556545,[M+NH4],2603941,1335017,2952037,4196552,1815039,2529014,2614060,5460364,1200410
LPC,LPC(20:3),3.13,0.01,0.40%,7711474,3832534,49.70%,546.355416,[M+H],384985,9286245,5140253,8566965,12968145,5217988,11758520,6705626,9374540
PC,PC(16:1_17:1),15.82,0.02,0.20%,38040138,19038932,50%,744.553782,[M+H],20723012,62804188,33833844,47942948,44591344,24522254,3328073,48231208,56384372
TG,TG(25:4_2:0_2:0),4.34,0.02,0.40%,6146126,3076061,50%,555.36561,[M+Na],7902927,3083155,8689205,3533603,3124189,10260331,3515355,10124175,5082195
DG,DG(15:2_18:1),14.86,0.05,0.30%,2076518,1041212,50.10%,599.464596,[M+Na],2573924,3530455,695296,1597596,1371055,1251092,2134928,#N/A,3457802
DG,DG(18:1_19:1),19.05,0.03,0.10%,3709385,1867609,50.30%,652.587451,[M+NH4],1416346,3590370,3995859,5044673,3101782,2717384,4715085,7354768,1448200
TG,TG(27:7_2:0_2:0),4.34,0.02,0.40%,5998128,3029307,50.50%,555.368016,[M+H],7831747,3024971,8488477,3455699,3072082,10011358,3467242,9961580,4670000
Cer,Cer(d18:1_15:0),15.4,0.03,0.20%,4115237,2076539,50.50%,506.493157,[M+H-H2O],2208545,993559,2237636,5897474,2698516,5560130,6558947,6085882,4796448
PC,PC(P-41:12),14.15,0.02,0.20%,2079470,1053822,50.70%,820.527567,[M+H],898051,1863884,760591,2595577,2525644,1055704,3469051,1968630,3578102
PC,PC(O-43:11),18.13,0.02,0.10%,16507168,8389905,50.80%,852.590167,[M+H],19741590,4490716,14031083,21787928,17398934,23494656,22774000,1197996,23647606
PE,PE(17:1_17:1),15.3,0.02,0.10%,128151089,65285922,50.90%,716.522482,[M+H],167706784,35731904,43212972,#N/A,180443408,111603256,183476304,#N/A,174882992
TG,TG(25:2_16:1)+O:(s),15.64,0.02,0.20%,37358676,19056169,51%,736.608581,[M+NH4],10232111,48022788,40406912,50326892,4865022,43507484,45168288,#N/A,56339912
PI,PI(17:0_19:0),16.9,0.02,0.10%,17652792,8994121,51%,884.622256,[M+NH4],13907815,1664464,25216720,13126545,7317922,26709478,23295834,25063430,22572922
TG,TG(12:0_16:0_16:1),22.63,0.05,0.20%,18412596,9401437,51.10%,766.691916,[M+NH4],14558511,22092304,8040239,#N/A,14687318,#N/A,#N/A,32684610,#N/A
PC,PC(15:0_19:0),17.36,0.03,0.20%,8686469,4449710,51.20%,762.600732,[M+H],7269180,4583117,11666103,14926594,4667069,13677704,#N/A,9510022,3191964
TG,TG(32:2_18:1)+O:(s),21.24,0.03,0.10%,46423407,23764020,51.20%,862.749431,[M+NH4],55376424,10653958,68711632,63855420,36745176,7851263,44120196,70817984,59678612
DG,DG(16:0_18:0),19.78,0.01,0.10%,35004497,18020721,51.50%,614.571801,[M+NH4],43478916,41548124,2192828,44602720,4398883,44716240,44586688,45624580,43891496
SM,SM(d36:2),14.94,0.02,0.10%,65369150,33722348,51.60%,729.590502,[M+H],40196320,86097736,760625,86422168,86201832,43879292,94100232,47974000,102690144
TG,TG(3:0_6:0_18:2),7.19,0.02,0.30%,8030176,4148807,51.70%,526.410215,[M+NH4],6842354,5132634,248967,10195430,6589399,6500217,11377424,14027095,11358063
TG,TG(O-13:0_3:0_16:1),12.85,0.02,0.10%,10887037,5634485,51.80%,589.480246,[M+Na],1643775,9160889,2361258,10096201,15280450,14045288,12941827,15298885,17154762
PC,PC(15:0_16:2),15.32,0.02,0.10%,17954053,9338840,52%,738.504426,[M+Na],15174629,14427849,27515802,25318768,10622008,24723706,3909521,30603216,9290981
DG,DG(18:2_18:3),15.64,0.02,0.10%,46145475,24001908,52%,632.524851,[M+NH4],50355536,54914876,14363245,59913676,1688958,56734324,37646144,73734296,65958220
TG,TG(8:0_15:0_16:0),21.08,0.04,0.20%,4149607,2164005,52.10%,698.629316,[M+NH4],1525635,5521074,3033317,6480234,1302845,2569214,3901891,6859555,6152701
PC,PC(33:1),15.31,0.06,0.40%,52871384,27644639,52.30%,768.551377,[M+Na],21668618,1577084,29432218,71786664,64242688,72372904,67772752,70364720,76624808
TG,TG(18:2_18:1_20:5),22.71,0.03,0.10%,4258130,2230738,52.40%,920.770167,[M+NH4],916875,#N/A,5500411,#N/A,5211465,5403768,#N/A,#N/A,#N/A
TG,TG(38:5_6:0)+OO:(s),16.43,0.05,0.30%,32212874,16898904,52.50%,795.574541,[M+Na],46973656,30511002,10895711,34917052,34780100,2326266,44365652,29536544,55609880
DG,DG(15:2_16:1),12.9,0.04,0.30%,3066142,1609478,52.50%,571.433296,[M+Na],2904290,1597998,2734426,#N/A,1321673,1431357,5456588,4370316,4712492
DG,DG(P-7:0_14:1),5.61,0.01,0.30%,16329019,8590424,52.60%,397.331236,[M+H],18676836,18374252,414135,21255138,2588427,19718918,21551976,24037830,20343662
DG,DG(O-21:1),4.44,0.03,0.80%,4868606,2572507,52.80%,416.373436,[M+NH4],302481,1196243,6140631,5930060,5866290,6160255,#N/A,6824363,6528530
Cer,Cer(d18:1_21:0),19.58,0.02,0.10%,3945238,2085157,52.90%,608.597622,[M+H],1508298,1977689,3127593,4402595,2823710,2382340,6929011,7050304,5305603
DG,DG(18:1_19:0),14.48,0.03,0.20%,1707090,904359,53%,654.603101,[M+NH4],221111,1711185,2319118,#N/A,2671158,1966283,2157061,2205551,405253
MGDG,MGDG(17:0_18:1),17.55,0.02,0.10%,20607014,10936849,53.10%,793.58002,[M+Na],29029716,8713631,37707460,16873374,9271033,22954910,#N/A,29747612,10558373
TG,TG(2:0_16:0_16:0)+OO:(s),10.4,0.02,0.20%,6495226,3456521,53.20%,665.49629,[M+Na],2715547,2016893,11144163,4635738,6660524,3285144,10389779,8839197,8770050
PI,PI(16:0_18:1),15.1,0.01,0.10%,18295556,9737590,53.20%,854.575306,[M+NH4],25323614,6916843,33978920,9603085,10669594,15402616,31593774,15344157,15827402
LPC,LPC(O-16:0),4.1,0.09,2.20%,4291935,2303928,53.70%,482.360502,[M+H],5414219,1839652,3529111,#N/A,2725994,1382541,8014464,5225508,6203992
TG,TG(16:0_18:0_18:1),25.6,0.03,0.10%,11828744,6359383,53.80%,878.817117,[M+NH4],#N/A,20981650,6561258,#N/A,10947846,8824220,#N/A,#N/A,#N/A
TG,TG(47:14_18:1),21.83,0.02,0.10%,3858392,2078461,53.90%,1015.774917,[M+H],4815762,4683084,353074,4295255,3326078,536480,5205656,6035151,5474988
TG,TG(45:11_18:1),21.83,0.02,0.10%,3840017,2068587,53.90%,1015.772512,[M+Na],4725835,4671674,351629,4267417,3270816,563037,5205656,6039550,5464543
PC,PC(17:1_18:1),16.41,0.09,0.50%,30191537,16345734,54.10%,794.567027,[M+Na],28312958,23395636,24128196,40094860,21519776,23927296,51959820,3090757,55294532
TG,TG(22:2_16:0),20.3,0.01,0.10%,15351928,8329036,54.30%,680.582366,[M+NH4],2570924,#N/A,6250637,21674188,21629364,7992253,22778976,17927410,21991670
MePC,MePC(35:6),11.49,0.05,0.40%,3649755,1990870,54.50%,779.545957,[M+H],3311942,2650409,3991228,4968144,2183077,703134,4025150,7364958,#N/A
SM,SM(t37:1),14.41,0.04,0.30%,4989755,2726896,54.60%,761.616716,[M+H],2346310,4730564,1301349,5310091,1356136,7597623,7219978,8199016,6846730
TG,TG(15:0_18:2_18:2),23.23,0.06,0.20%,13657691,7474126,54.70%,858.754517,[M+NH4],13205709,8701712,10309666,8851557,26872918,6571452,23372082,18261530,6772595
TG,TG(22:1_24:0)+OO:(s),22.17,0.02,0.10%,12791696,6994530,54.70%,826.713046,[M+NH4],2262174,10047944,11648901,18317508,2872337,11522676,21477126,19122584,17854018
PC,PC(P-39:10),15,0.04,0.20%,7012006,3841732,54.80%,796.527567,[M+H],9096172,1041811,8998874,8321340,879355,4622489,10899258,10038733,9210026
DG,DG(O-17:2_21:0),19.63,0.03,0.20%,4785639,2624097,54.80%,652.623837,[M+NH4],7129778,336838,5872522,6015497,931989,8000711,4534845,6026179,4222397
DG,DG(15:2_18:2),13.31,0.03,0.20%,7482869,4108941,54.90%,597.448946,[M+Na],6099328,4027686,5560590,6233647,3410667,5022342,8558259,15076255,13357049
PE,PE(O-15:0_16:1),15.03,0.03,0.20%,125791269,69227113,55%,662.511917,[M+H],19088530,80004552,160499760,139373424,175613776,16305475,175768800,179898896,185568208
PE,PE(20:4_16:0),15.48,0.04,0.30%,15921108,8772963,55.10%,740.522482,[M+H],10377619,12052645,16065481,22844012,14416044,138862,26464972,#N/A,25009228
TG,TG(14:1_15:1_16:1),21.53,0.04,0.20%,13182936,7273846,55.20%,776.676266,[M+NH4],#N/A,8298997,3921687,16484341,19490928,3412429,21728674,19596182,12530254
PC,PC(19:0_14:0),15.85,0.03,0.20%,78425164,43464044,55.40%,748.585082,[M+H],56696168,35809984,32830024,163716080,64914704,99184208,126234920,70626248,55814136
DGDG,DGDG(15:0_17:1),14.63,0.02,0.10%,11455133,6341510,55.40%,908.630498,[M+NH4],8394831,6480685,4575222,18272066,5016948,17504558,20144324,#N/A,11252433
DG,DG(O-19:1_24:0),22.43,0.03,0.10%,7319866,4061489,55.50%,724.717737,[M+NH4],11947867,1616536,8116139,10194271,2606200,2085796,10687474,9650459,8974055
Cer,Cer(d19:0_19:1)+2O:(s),16.78,0.05,0.30%,4161166,2311375,55.50%,626.571801,[M+H],2181978,249818,4353449,5341607,3447478,3846648,#N/A,7552034,6316316
TG,TG(16:1_16:1_17:1),22.66,0.12,0.50%,4556855,2533832,55.60%,832.738867,[M+NH4],7878180,253890,6914714,2098563,3628364,4422779,5075576,6182772,#N/A
DG,DG(16:2_16:1),14.58,0.03,0.20%,10019900,5571348,55.60%,580.493551,[M+NH4],13475787,6158189,5622059,9740786,2147855,6098667,12773446,14132041,20030274
DG,DG(O-26:1),10.41,0.03,0.30%,6931092,3869378,55.80%,469.425136,[M+H],221993,7633890,3440511,4051000,10368402,11667023,9291871,5375072,10330069
DG,DG(O-25:2),8.67,0.02,0.20%,11404909,6363456,55.80%,470.420386,[M+NH4],9664774,22480642,8064368,15430528,19104812,6265018,11421145,3398328,6814563
PC,PC(18:1_18:1),16.45,0.02,0.10%,4858180576,2716273643,55.90%,786.600732,[M+H],1454417792,7902936064,4258631168,5816737280,#N/A,#N/A,#N/A,#N/A,#N/A
TG,TG(17:1_16:0_18:1),24.17,0.06,0.30%,6857403,3830244,55.90%,862.785817,[M+NH4],2794198,#N/A,9563790,#N/A,7768483,2962050,11198493,#N/A,#N/A
Hex1Cer,Hex1Cer(d18:2_24:1)+O:(s),18.12,0.02,0.10%,11487804,6420883,55.90%,824.66101,[M+H],9290254,9638150,1416175,24057486,7166422,8728657,17045468,12674967,13372653
Hex1Cer,Hex1Cer(d16:2_19:2),13.62,0.02,0.10%,2979046,1668555,56%,708.540895,[M+H],3641330,399970,4367813,3444629,2029231,1244102,4258291,1922661,5503391
Cer,Cer(d18:2_31:2),16.03,0.03,0.20%,5228862,2929109,56%,738.675872,[M+H-H2O],5955542,174362,7248853,5868719,5842887,6952209,213033,7647437,7156721
MePC,MePC(40:5),18.81,0.03,0.20%,3961979,2224881,56.20%,851.639857,[M+H],13398,3569211,6729054,5306989,4027582,1647386,3435976,4008367,6919847
DG,DG(15:0_18:1),14.82,0.03,0.20%,4084340,2301651,56.40%,603.495896,[M+Na],1399762,5049858,1897124,#N/A,5608119,2120979,7530562,#N/A,4983978
PC,PC(14:1_18:1),15.44,0.12,0.80%,16519664,9341679,56.50%,730.538132,[M+H],12678109,13988852,21988346,33315280,1583618,5975537,19705308,19901192,19540732
LPC,LPC(18:1),3.37,0.04,1.10%,43300871,24536926,56.70%,522.355416,[M+H],56960396,62723144,5325902,56797788,48557728,10869596,61871540,#N/A,#N/A
MePC,MePC(24:0),10.7,0.02,0.20%,2405676,1367922,56.90%,637.467706,[M+H],1247958,865546,2201853,2966973,3539281,1212666,3437346,1330150,4849310
TG,TG(O-13:0_20:5_3:0),16.44,0.02,0.10%,11825110,6746596,57.10%,632.524851,[M+NH4],14467362,10729551,1644777,16357514,2017733,12332314,18601778,18449850,#N/A
TG,TG(23:2_2:0_6:0),14.29,0.02,0.20%,13209666,7543901,57.10%,582.472815,[M+NH4],4961792,9509911,6131956,24078124,10517916,9528327,13502679,26774904,13881381
PC,PC(O-43:13),16.6,0.02,0.10%,16051517,9187408,57.20%,848.558867,[M+H],3970459,20323526,8567506,22184276,23288524,4386575,24557380,10115254,27070156
TG,TG(17:0_3:0_3:0),4.22,0.02,0.50%,2871153,1649002,57.40%,474.378915,[M+NH4],3615742,4708408,1084082,#N/A,972002,2361297,#N/A,4485390,#N/A
DG,DG(O-15:1_22:7),14.82,0.07,0.50%,1687856,970789,57.50%,609.487737,[M+H],889181,1462412,2325295,2925062,832160,861985,548664,3034072,2311872
PC,PC(31:7),13.67,0.03,0.20%,6855703,3958832,57.70%,706.444231,[M+H],9121405,7715649,9584416,9047892,1907502,11417246,9612691,1417838,1876687
TG,TG(19:2_13:0_16:1)+O:(s),20.41,0.03,0.10%,6648883,3850293,57.90%,817.691582,[M+H],2912942,1026151,10107240,10242220,6075049,2457284,10871189,10119074,6028799
TG,TG(28:2_18:1)+O:(s),20.02,0.02,0.10%,5473200,3170027,57.90%,806.686831,[M+NH4],2480652,2798588,3435044,5428624,4376217,4186848,5243404,11981466,9327961
TG,TG(23:1_17:0)+O:(s),17.11,0.04,0.20%,21891570,12689592,58%,726.624231,[M+NH4],32494854,42089100,14330672,19219990,23654364,36962204,10419917,10587214,7265813
DG,DG(18:1_18:3),16.64,0.01,0.10%,219017955,127133426,58%,634.540501,[M+NH4],18617896,237600224,308699200,303552640,291585888,#N/A,#N/A,56329840,316740000
LPE,LPE(17:1),2.99,0.04,1.40%,1600802,927742,58%,466.292816,[M+H],1348899,1879025,1702408,2886966,268451,58246,2240559,2310693,1711968
PC,PC(40:2),18.62,0.02,0.10%,2762567,1605665,58.10%,842.663332,[M+H],3017618,328514,2260318,5116707,802499,2065733,4005901,4485282,2780534
PC,PC(O-26:4_23:0),21.71,0.02,0.10%,17972591,10445601,58.10%,972.775563,[M+Na],16391570,5723217,13384462,28828612,6147618,6693187,27424184,28611230,28549242
TG,TG(20:4_15:0)+O:(s),12.13,0.02,0.20%,37538040,21796387,58.10%,650.49903,[M+NH4],8475625,19859950,40288984,67361904,16201500,#N/A,62803084,34737116,50576156
PC,PC(18:0_15:0),16.69,0.03,0.20%,97626704,56950076,58.30%,748.585082,[M+H],49473068,142529504,141276544,125450416,158333424,22553220,21114904,#N/A,120282552
TG,TG(12:0_15:0_16:0),22.58,0.05,0.20%,9629306,5613716,58.30%,754.691916,[M+NH4],11789530,7058073,18233946,#N/A,6367454,12135865,#N/A,2190969,#N/A
TG,TG(14:0_14:0_16:1),22.18,0.05,0.20%,2714560,1586213,58.40%,766.691916,[M+NH4],#N/A,1793933,2313828,#N/A,3001680,5285808,1177550,#N/A,#N/A
Cer,Cer(d18:0_16:1)+O:(s),14.8,0.02,0.10%,4544670,2659335,58.50%,554.514286,[M+H],1453754,2865663,2687698,9115957,4454496,4308040,2388463,8370544,5257416
DG,DG(O-15:1_18:0),16.92,0.03,0.20%,13977176,8224522,58.80%,584.561237,[M+NH4],12253639,3086743,10657738,19510320,4680989,6853177,23617822,22213374,22920782
TG,TG(16:0_16:1_20:5),22.51,0.08,0.40%,113541156,66933337,59%,868.738867,[M+NH4],75019944,77004352,76412704,152444768,82357648,41924996,156605456,#N/A,246559376
DG,DG(O-18:2_15:1),18.85,0.02,0.10%,3178909,1882549,59.20%,563.503387,[M+H],1594420,833635,4534685,3141852,3751912,2990865,7223221,2523161,2016433
SM,SM(d40:2),18.02,0.02,0.10%,58419208,34609938,59.20%,785.653102,[M+H],#N/A,97755552,10047552,23036584,84524544,66875576,#N/A,68275440,#N/A
DG,DG(O-24:2),7.51,0.02,0.30%,10333014,6131812,59.30%,456.404736,[M+NH4],11383199,21505442,4623244,12131812,17016724,5929144,11654623,3314344,5438599
DG,DG(8:0_21:0),11.33,0.01,0.10%,16172910,9618059,59.50%,527.467001,[M+H],21313336,3043994,6600434,25683568,10113750,27581556,18873734,#N/A,#N/A
LPC,LPC(P-16:0),2.52,0.03,1.30%,3166181,1892365,59.80%,502.326796,[M+Na],1099357,3528937,591467,3520274,2764716,1783294,6057973,3332628,5816983
TG,TG(12:0_15:1_16:1),21.43,0.02,0.10%,21064765,12643139,60%,750.660616,[M+NH4],16169727,21160918,5648130,33465826,12791209,1724579,33435046,31591270,33596180
TG,TG(26:1_16:0)+OO:(s),19.71,0.03,0.20%,6073827,3654411,60.20%,770.650446,[M+NH4],9617503,3186621,2863039,9145489,1288833,1807907,8900609,9571892,8282553
PC,PC(O-41:10),17.79,0.03,0.20%,5774206,3483447,60.30%,826.574517,[M+H],1008201,9247297,1219054,7942582,3032811,4596889,9480296,5898917,9541808
TG,TG(36:3_16:0)+O:(s),22.04,0.03,0.10%,21399507,12967231,60.60%,890.780731,[M+NH4],8861712,7976461,29262598,29281186,1253617,#N/A,32152040,30208902,32199542
PC,PC(O-36:3),16.63,0.03,0.20%,37555504,22813500,60.70%,770.605817,[M+H],10040742,59729812,14087600,59061852,22332066,12603645,57065440,39801520,63276860
TG,TG(17:1_7:0_16:0)+O:(s),19.25,0.04,0.20%,9081419,5508190,60.70%,726.624231,[M+NH4],6937328,935452,6125951,16126945,12023163,3482042,#N/A,12128703,14891765
Hex1Cer,Hex1Cer(d16:0_19:2)+2O:(s),12.42,0.04,0.30%,9211934,5589879,60.70%,744.562024,[M+H],13410294,#N/A,#N/A,#N/A,6443104,1041978,10320567,#N/A,14843729
TG,TG(16:1_17:1_18:1),23.78,0.04,0.20%,33547926,20405975,60.80%,860.770167,[M+NH4],27859764,#N/A,28307592,#N/A,5045056,56089308,#N/A,#N/A,50437908
SM,SM(d34:0),15.28,0.04,0.20%,19099099,11643717,61%,705.590502,[M+H],1292025,22556892,8765163,20603452,25065360,7642934,35157528,16969692,33838844
d5-TG,d5-TG(34:4_18:2),23.3,0.03,0.10%,14344195,8767390,61.10%,873.77025,[M5D+NH4],7987784,17710718,5681254,19425844,6950409,10221787,33651736,10806485,16661736
TG,TG(19:1_2:0_2:0),5.56,0.02,0.30%,3805717,2329444,61.20%,477.31866,[M+Na],3754495,206473,1443692,5876511,6375418,2171416,2599081,5211736,6612634
DG,DG(O-23:2),8.25,0.2,2.40%,6957866,4260766,61.20%,442.389086,[M+NH4],3030280,1787725,10502349,8946175,1898798,3567341,11812788,10170317,10905025
SM,SM(d43:4),19.67,0.03,0.20%,1911037,1169110,61.20%,823.668752,[M+H],1341532,3585276,1056324,1876754,3123146,495637,3310559,1773989,636120
DG,DG(O-26:2),9.84,0.03,0.30%,7171970,4409905,61.50%,484.436036,[M+NH4],10021960,16774447,5387477,7868263,5189873,2274128,8898279,3231436,4901871
DG,DG(19:1_19:1),18.66,0.02,0.10%,3002240,1850575,61.60%,666.603101,[M+NH4],438876,5580337,528532,4427915,4103470,3444116,2017513,3477164,#N/A
MGDG,MGDG(18:1_18:2),16.19,0.07,0.50%,15348596,9476583,61.70%,803.56437,[M+Na],6688396,15393895,11408748,#N/A,16334490,26921942,2828446,27864258,#N/A
Cer,Cer(d18:0_18:0)+O:(s),16.92,0.03,0.20%,14192618,8765192,61.80%,584.561236,[M+H],#N/A,3086743,10657738,19510320,4680989,6853177,23617822,22213374,22920782
PI,PI(18:0_18:1),16.56,0.02,0.10%,7825881,4846138,61.90%,882.606606,[M+NH4],179070,3209563,2633531,7352220,13394350,8465495,12053059,10241211,12904428
PC,PC(33:0),16.36,0.05,0.30%,4756686,2947603,62%,748.585082,[M+H],9275760,3644480,4511992,#N/A,5179953,#N/A,1171245,#N/A,#N/A
TG,TG(18:1_18:2_18:2)+O:(s),21.6,0.03,0.10%,15976630,9919519,62.10%,914.780731,[M+NH4],8810888,4260345,23947098,23679176,3969260,5657050,22247048,25355686,25863116
PC,PC(O-35:4),15.28,0.04,0.30%,5853901,3647694,62.30%,754.574517,[M+H],11261382,6803095,2393138,3157624,4537365,10159912,2664789,#N/A,#N/A
