Molecule List,Molecule,Mean Best Retention Time,Stdev Best Retention Time,Cv Best Retention Time,Mean Total Area,Stdev Total Area,Cv Total Area,Precursor Mz,Precursor Adduct,9- Sum Total Area,11- Sum Total Area,13- Sum Total Area,15- Sum Total Area,18- Sum Total Area,20- Sum Total Area,22- Sum Total Area,24- Sum Total Area,26 Sum Total Area
DG,DG(27:5_2:0),7.1,0.02,0.20%,2617336,743923,28.40%,539.370696,[M+Na],2787428,905876,1943316,3205054,2716515,2799587,2943783,3129731,3124740
PI,PI(16:0_18:1),15.11,0.02,0.20%,9596415,2738125,28.50%,859.530701,[M+Na],10489960,7545987,13002374,10778173,3660152,8923213,9262712,11294130,11411033
PC,PC(21:4_16:0),15.84,0.03,0.20%,46145656,13215286,28.60%,796.585082,[M+H],27326650,50833940,33581236,49380820,62444684,32993862,55897244,39954660,62897804
AcHexCmE,AcHexCmE(16:0),21,0.02,0.10%,2715159,775781,28.60%,818.686831,[M+NH4],2157713,2520394,1936343,3690378,2863264,1746209,3315953,3904859,2301320
PC,PC(35:4),14.24,0.02,0.20%,13078931,3797458,29%,768.553782,[M+H],10431526,12089653,7689235,11645370,17317076,11092698,20393844,13045716,14005258
PC,PC(34:4),13.37,0.04,0.30%,12512522,3653958,29.20%,754.538132,[M+H],10745684,17365002,7489943,11003360,14526806,11300703,15743780,7946733,16490686
PE,PE(P-18:0_20:4),17.51,0.02,0.10%,30465015,8893280,29.20%,752.558867,[M+H],20279092,38688760,20635758,36999128,37744420,21330148,37113312,22292252,39102264
TG,TG(27:4_16:0)+O:(s),19.54,0.17,0.90%,6767255,1989289,29.40%,745.597681,[M+H],6435057,5432048,3928317,11331363,6142238,6618021,7065571,6598822,7353857
MePC,MePC(33:4),14.76,0.03,0.20%,82353969,24201496,29.40%,755.545957,[M+H],28242846,92375880,83922528,91433064,91110512,91567600,#N/A,#N/A,97825352
PC,PC(40:5),16.65,0.03,0.20%,133442630,39307716,29.50%,836.616382,[M+H],79042296,151632672,91023296,171913248,162748784,101573872,168531216,100815344,173702944
MG,MG(O-20:4),5.17,0.02,0.30%,4050126,1196886,29.60%,365.305021,[M+H],3612790,2046737,3409213,3911454,3629505,5849496,3472830,4983788,5535322
PE,PE(O-31:1),15.25,0.02,0.20%,7644442,2268122,29.70%,662.511917,[M+H],#N/A,6655678,4534595,10667770,8506172,7857994,#N/A,#N/A,#N/A
PA,PA(18:2_15:0),14.38,0.1,0.70%,44335460,13169743,29.70%,676.491182,[M+NH4],31671096,30487212,32240516,47711100,55442396,29856616,52758984,62451524,56399700
Cer,Cer(d16:1_19:2),15.2,0.02,0.10%,50961765,15204765,29.80%,548.503721,[M+H],33269424,26321548,48377396,60063992,51051004,41068500,60567844,69734096,68202080
PC,PC(16:1_18:1),15.28,0.02,0.10%,8924749483,2668279792,29.90%,758.569432,[M+H],5663372288,10449337344,6076676608,11048331264,10469684224,6212139520,11521699840,6761766912,12119737344
TG,TG(18:1_16:0_18:0),25.8,0.02,0.10%,7849084,2350583,29.90%,878.817117,[M+NH4],3942915,6869678,10021099,#N/A,7684542,10411158,8165114,#N/A,#N/A
PC,PC(16:0_18:1),16.4,0.01,0.10%,7332757979,2201850072,30%,760.585082,[M+H],6362693120,7831795200,6864705536,#N/A,3396653312,7312562176,10099840000,#N/A,9461056512
LPC,LPC(18:0),5.44,0.01,0.20%,114436202,34546766,30.20%,524.371066,[M+H],69830992,136242288,79302288,138657968,141126224,82009280,148321744,83055752,151379280
PC,PC(19:2_14:0),15.22,0.02,0.10%,71677133,21688469,30.30%,744.553782,[M+H],72812912,110703224,54713800,46270440,76907568,57832676,78366144,51014592,96472840
TG,TG(7:0_16:0_16:0),18.86,0.01,0.10%,15316900,4639319,30.30%,698.629316,[M+NH4],14877485,4936503,10848258,19177944,16862640,18035508,18485284,16429211,18199264
TG,TG(33:8_4:0)+O:(s),12.13,0.01,0.10%,8881214,2692666,30.30%,670.46773,[M+NH4],7566915,2389257,9008329,9714007,8875288,9505602,11214347,10789365,10867814
DG,DG(O-15:2_22:0),19.03,0.03,0.20%,11137057,3377736,30.30%,638.608187,[M+NH4],3044445,12214994,14972457,10457272,13223526,10536739,12821085,10570143,12392856
MG,MG(O-24:3),10.44,0.02,0.20%,5825881,1763324,30.30%,440.409821,[M+NH4],3814541,4615863,3460272,7164315,5483003,4850749,7253727,8286219,7504241
SM,SM(t38:6),12.69,0.03,0.20%,3741338,1135620,30.40%,765.554116,[M+H],3932901,3315480,4146243,3200155,3209413,1359155,4600343,5002118,4906236
PI,PI(33:0),14.81,0.06,0.40%,5964841,1820396,30.50%,847.530701,[M+Na],2623166,7809610,6924062,6931494,5897882,3209205,6857468,6183850,7246829
PE,PE(31:0),15.58,0.03,0.20%,75332981,23035207,30.60%,678.506832,[M+H],84635224,43976624,96183344,#N/A,41782624,101198200,72222240,68418720,94246872
TG,TG(3:0_6:0_27:7),12.23,0.01,0.10%,10681828,3265100,30.60%,642.472815,[M+NH4],11602573,9210672,17347298,#N/A,7563739,8201766,9914494,10932258,#N/A
PC,PC(31:0),17.06,0.01,0.10%,74671819,22997605,30.80%,720.553782,[M+H],66057372,53673404,63117880,55493036,57509428,115472264,99482696,63751704,97488584
PE,PE(17:0_17:0),17.06,0.01,0.10%,74671819,22997605,30.80%,720.553782,[M+H],66057372,53673404,63117880,55493036,57509428,115472264,99482696,63751704,97488584
PE,PE(29:1_16:1),19.75,0.03,0.10%,11277429,3487095,30.90%,870.694632,[M+H],12832944,3086638,11959188,8899613,13221606,14241818,11407552,14273943,11573557
PG,PG(18:0_18:1),16.73,0.15,0.90%,42917409,13275773,30.90%,794.590562,[M+NH4],43659504,41708540,36635056,38073164,36886620,35584780,76966352,33164586,43578076
PE,PE(15:0_16:0),15.58,0.03,0.20%,84398520,26177229,31%,678.506832,[M+H],44953756,92448864,113969264,90420984,40112104,99896616,82584168,111693544,83507384
SM,SM(d18:1_16:0),14.62,0.01,0.10%,601008722,186601824,31%,703.574852,[M+H],368445376,700783424,403776896,743115456,749321664,424426272,796752064,432729280,789728064
Cer,Cer(d16:0_20:3),17.37,0.02,0.10%,13203229,4099187,31%,562.519371,[M+H],10121278,5159276,12450538,14364086,10964679,16923252,14073594,18747726,16024629
