Molecule List Name,Molecule,Molecule Formula,Precursor Mz,Precursor Adduct,Precursor Neutral Mass,Mean Best Retention Time,Stdev Best Retention Time,Cv Total Area,Allium_Ursinum_OE11-E4-P14NEG Sum Total Area,Auricularia_Polytricha_OE21-4-F7NEG Sum Total Area,Blastobotrys_Sp_LG1401_ESA_OE21-4-E8F45NEG Sum Total Area,Craterellus_Cornucopioides_OE21-4-F12NEG Sum Total Area,Equisetum_Arvense_OE11-E4-P11NEG Sum Total Area,Ginko_biloba_OE11-3-E4-P27NEG Sum Total Area,Labilithrix_luteola_1B3R5D0E2N Sum Total Area,Paenibacillus_Alginolyticus_2B2R5DOE2N Sum Total Area,Rhodococcus_Sp_OE11-3-E4-A1NEG Sum Total Area,Thallasiosira_weissflogii_P42NEG Sum Total Area,Ulva_P56NEG Sum Total Area,Valonia_P52NEG Sum Total Area
LPMt,LPMt(16:0),C20H41O7P1,423.251715,[M-H],424.258991,4.93,0.06,240.8%,5718244,19480,48658,1145168,54724,57673,#N/A,#N/A,0,#N/A,9739,0
MGDG,MGDG(16:0_16:0),C41H78O10,775.557702,[M+HCOO],730.559499,16.14,0.01,207%,5675733,151,#N/A,#N/A,1381582,2418402,#N/A,#N/A,#N/A,76711712,6740596,1672676
DGDG,DGDG(15:0_17:0),C47H88O15,937.610525,[M+HCOO],892.612323,15.68,0.02,142.1%,5654520,0,#N/A,0,4886265,8666489,0,49149,#N/A,201520,#N/A,#N/A
LPC,LPC(15:0),C23H48N1O7P1,526.315043,[M+HCOO],481.31684,3.47,0.03,221.3%,5618392,211571,0,41482,46985,649586,0,#N/A,#N/A,#N/A,#N/A,#N/A
PI,PI(P-15:2_16:1),C40H71O12P1,773.461039,[M-H],774.468315,7.09,0.07,185%,5253565,468861,#N/A,94173,31575900,#N/A,#N/A,#N/A,#N/A,2703854,#N/A,7115
MGDG,MGDG(18:1_18:2),C45H80O10,825.573352,[M+HCOO],780.575149,15.62,0.06,168.9%,4151734,#N/A,#N/A,#N/A,72697,106624,#N/A,20649,#N/A,18262214,678784,4024348
LPE,LPE(20:1),C25H50N1O7P1,506.325214,[M-H],507.33249,4.84,0.07,100.8%,4056567,7818722,#N/A,7400409,83116,10398414,#N/A,#N/A,#N/A,150745,#N/A,92686
DGDG,DGDG(18:2_18:1),C51H90O15,987.626175,[M+HCOO],942.627973,14.35,0.04,127%,3983779,#N/A,#N/A,#N/A,965958,237909,#N/A,#N/A,#N/A,1090267,0,#N/A
SQDG,SQDG(16:0_16:3),C41H72O12S1,787.467173,[M-H],788.474449,8.54,0.04,207.6%,3968701,0,#N/A,0,38970,#N/A,#N/A,#N/A,#N/A,1634183,106560712,20402080
DGDG,DGDG(18:2),C33H56O15,737.360124,[M+HCOO],692.361921,1.5,0.01,95%,3860518,#N/A,#N/A,#N/A,5018225,3239166,#N/A,0,2378,#N/A,#N/A,#N/A
SQDG,SQDG(33:3),C42H74O12S1,847.488302,[M+HCOO],802.490099,7.11,0.03,131.9%,3793230,#N/A,526515,#N/A,#N/A,2918190,#N/A,#N/A,#N/A,116396,13855325,#N/A
PG,PG(18:3_18:4),C42H69O10P1,763.45556,[M-H],764.462836,8.19,0.04,137.1%,3385256,#N/A,#N/A,2340345,602032,#N/A,#N/A,#N/A,#N/A,0,19322,13761
DGDG,DGDG(16:2_16:1),C47H82O15,931.563575,[M+HCOO],886.565372,9.63,0.04,173.6%,3271886,#N/A,0,81958,57273,854977,#N/A,#N/A,#N/A,139826,351633,#N/A
