Molecule List Name,Molecule,Molecule Formula,Precursor Mz,Precursor Adduct,Precursor Neutral Mass,Mean Best Retention Time,Stdev Best Retention Time,Cv Total Area,Allium_Ursinum_OE11-E4-P14POS Sum Total Area,Auricularia_Polytricha_OE21-4-F7POS Sum Total Area,Trichomonascus_vanleenenianus_OE21-4-E8F45POS Sum Total Area,Craterellus_Cornucopioides_OE21-4-F12POS Sum Total Area,Equisetum_Arvense_OE11-E4-P11POS Sum Total Area,Ginkgo_biloba_OE11-3-E4-P27POS Sum Total Area,Labilithrix_luteola_1B3R5D0E2 Sum Total Area,Paenibacillus_Alginolyticus_2B2R5DOE2 Sum Total Area,Rhodococcus_Sp_OE11-3-E4-A1POS Sum Total Area,Thalassiosira_weissflogii_P42POS Sum Total Area,Ulva_P56POS_20240924144544 Sum Total Area,Valonia_P52POS_20240924210008 Sum Total Area
TG,TG(18:0_16:0_16:0),C53H102O6,852.801467,[M+NH4],834.767641,23.94,0.06,110.30%,45920,155465,#N/A,773716,264134,#N/A,#N/A,637621,212235,19005,#N/A,0
BisMePA,BisMePA(30:2),C35H65O8P1,662.475532,[M+NH4],644.441706,13.01,0.04,156%,45805,39482936,3923734,1221263,186024,#N/A,#N/A,0,#N/A,39958188,#N/A,#N/A
DG,DG(16:0_18:2),C37H68O5,615.495896,[M+Na],592.506676,14.47,0.03,162.90%,44674,11349,#N/A,1746596,0,7847691,0,#N/A,#N/A,8548516,8725,#N/A
TG,TG(14:0_16:0_18:1),C51H96O6,822.754517,[M+NH4],804.720691,23.69,0.06,330%,44630,901479,10595387,1286937,120983,50372,130411,115749,261440,1287043840,29569080,15562292
PE,PE(31:0),C36H72N1O8P1,678.506832,[M+H],677.499556,14.38,0.03,102.30%,43441,0,#N/A,#N/A,#N/A,#N/A,#N/A,164081,174085,#N/A,21013,#N/A
CL,CL(P-18:0_18:1),C45H86O15P2,929.551472,[M+H],928.544196,14.44,0.03,118.80%,41303,#N/A,#N/A,#N/A,2275867,#N/A,1388033,#N/A,#N/A,433453,0,#N/A
TG,TG(17:0_14:0_16:1),C50H94O6,808.738867,[M+NH4],790.705041,23.48,0.03,205%,39776,15369,457078,11133821,#N/A,48750,77269,10243,#N/A,4922851,#N/A,92690
TG,TG(O-17:1_15:0_15:0),C50H96O5,794.759602,[M+NH4],776.725777,19.31,#N/A,#N/A,39587,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
TG,TG(13:0_12:1),C28H50O6,500.394565,[M+NH4],482.36074,3.74,0.05,199.80%,38082,#N/A,#N/A,#N/A,#N/A,32903,#N/A,#N/A,#N/A,4188725,6796920320,#N/A
TG,TG(29:4_6:0)+OO:(s),C38H64O8,666.493945,[M+NH4],648.460119,9.73,0.05,199.70%,34784,2283367,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,48022,103918,7982378
PG,PG(16:1_18:4),C40H69O10P1,758.496661,[M+NH4],740.462836,9.78,0.05,227.50%,33720,5864985,2518831,39418932,#N/A,#N/A,#N/A,0,#N/A,82034,118466,0
PS,PS(16:0_18:3),C40H72N1O10P1,758.496661,[M+H],757.489385,9.79,0.03,212.20%,33720,5864985,2518831,39418932,#N/A,#N/A,#N/A,0,#N/A,82034,#N/A,0
d5-TG,d5-TG(34:4_18:2),C55H94O6,873.77025,[M5D+NH4],855.736425,23.62,0.08,170.50%,33015,#N/A,#N/A,#N/A,#N/A,#N/A,263028,#N/A,#N/A,27947310,#N/A,#N/A
TG,TG(13:0_16:1_18:1),C50H92O6,806.723217,[M+NH4],788.689391,22.77,0.04,237.10%,32299,2875129,#N/A,11882878,13797,66593,0,2565,28244,#N/A,792984,46462
TG,TG(13:1_17:0_17:0),C50H94O6,808.738867,[M+NH4],790.705041,23.14,0.04,249%,31743,#N/A,#N/A,2514495,0,172971,6047,6789,#N/A,771390,21580220,480267
TG,TG(16:1_14:0_15:0),C48H90O6,780.707566,[M+NH4],762.673741,22.7,0.05,201.20%,31719,1382544,436426,7011439,#N/A,#N/A,4590,30699,#N/A,#N/A,#N/A,62951
TG,TG(16:0_16:0_25:0),C60H116O6,950.911017,[M+NH4],932.877192,23.28,0.03,118.50%,29501,0,0,#N/A,120989,228886,#N/A,#N/A,18861,29187,#N/A,120703
TG,TG(16:0_17:1_18:1),C54H100O6,862.785817,[M+NH4],844.751991,23.94,0.03,253.40%,28630,5100795,88437352,1567050,#N/A,73180,25395,0,#N/A,33480,8446079,4528170
DG,DG(O-15:1_22:5),C40H68O4,630.545586,[M+NH4],612.511761,20.76,0.05,135.20%,28295,#N/A,#N/A,269229,#N/A,#N/A,337315,18396,#N/A,36681,1021203,#N/A
TG,TG(14:0_16:1_16:1),C49H90O6,792.707566,[M+NH4],774.673741,22.41,0.05,174.30%,28129,1737771,1158672,10159817,0,#N/A,#N/A,27021,#N/A,2542971,#N/A,138074
DG,DG(O-25:7_18:2),C46H74O4,708.592537,[M+NH4],690.558711,18.88,0.04,259.60%,27254,40494708,#N/A,469081,4093,#N/A,0,#N/A,#N/A,#N/A,159713,0
TG,TG(12:0_16:1_18:1),C49H90O6,792.707566,[M+NH4],774.673741,22.27,0.04,222.80%,25078,740207,594026,98792,#N/A,29143,#N/A,52855,#N/A,#N/A,31024544,6147000
PE,PE(18:1_18:1),C41H78N1O8P1,744.553782,[M+H],743.546506,15.26,0.11,243.20%,21192,#N/A,#N/A,#N/A,#N/A,0,777040,238614,31143,174487440,#N/A,#N/A
LPC,LPC(O-18:3),C26H50N1O6P1,504.344852,[M+H],503.337576,3.91,0.05,161.10%,21008,#N/A,2778578,2132625,0,0,#N/A,#N/A,0,336,111297,943039
TG,TG(12:0_14:0_16:0),C45H86O6,740.676266,[M+NH4],722.642441,21.94,0.04,149.50%,20464,#N/A,50437,558766,0,0,#N/A,23200,#N/A,76831,416219,83980
DG,DG(O-25:6),C28H44O4,462.357786,[M+NH4],444.32396,3.84,0.02,263.10%,17993,293117,6017738,#N/A,0,52405,#N/A,33195,1631,0,#N/A,#N/A
DG,DG(O-25:6),C28H44O4,445.331236,[M+H],444.32396,3.85,0.05,230.10%,16842,446559,4330024,#N/A,54229,176831,#N/A,35906,0,135345,#N/A,#N/A
PG,PG(20:4_16:0),C42H75O10P1,788.543611,[M+NH4],770.509786,12.89,0.03,180.60%,16781,8766255,#N/A,#N/A,57870,#N/A,#N/A,0,0,3794384,#N/A,347761
TG,TG(24:5_4:0)+O:(s),C31H48O7,550.37383,[M+NH4],532.340004,4.12,0.03,255.40%,15887,#N/A,#N/A,1885391,974597,175740,103853,0,#N/A,0,359623,22549688
LPS,LPS(18:2),C24H44N1O9P1,522.282645,[M+H],521.275369,2.25,0.03,163.70%,13385,1471680512,480284608,#N/A,0,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A
LPC,LPC(20:1),C28H56N1O7P1,572.368661,[M+Na],549.37944,5.17,0.05,221.40%,13006,642128,#N/A,132566,0,0,19051,0,#N/A,#N/A,0,#N/A
PC,PC(37:4),C45H82N1O8P1,796.585082,[M+H],795.577806,14.98,0.02,188.30%,11644,27194442,#N/A,185948752,56488,361169,#N/A,#N/A,#N/A,31283300,6030050,#N/A
PC,PC(20:0_13:1),C41H80N1O8P1,768.551377,[M+Na],745.562156,15.39,0.04,199.30%,10079,#N/A,#N/A,#N/A,0,#N/A,0,4011305,#N/A,#N/A,#N/A,#N/A
TG,TG(16:1_16:0_16:0),C51H96O6,822.754517,[M+NH4],804.720691,23.73,0.06,325.20%,7149,8986401,10595387,1655020,714375,85093,130411,115749,59198,1287043840,#N/A,987580
TG,TG(14:0_16:0_16:1),C49H92O6,794.723217,[M+NH4],776.689391,23.14,0.04,243.80%,6859,135634,356873,20870890,39485,104743,114869,24362,28940,5363883,#N/A,#N/A
TG,TG(15:0_15:0_16:0),C49H94O6,796.738867,[M+NH4],778.705041,22.71,0.03,136.70%,6782,59398,169956,182774,#N/A,17153,#N/A,376738,102590,12172,842616,100766
TG,TG(3:0_4:0_16:3),C26H42O6,468.331965,[M+NH4],450.298139,1.53,0.02,194.90%,6748,28943,18550,7163,308199,729313,0,38926,0,#N/A,#N/A,#N/A
TG,TG(15:0_16:1_16:1),C50H92O6,806.723217,[M+NH4],788.689391,22.71,0.05,159.90%,5824,2677272,3119296,473124,15008,#N/A,0,9058,28244,#N/A,1093276,28721
DG,DG(25:6_18:2),C46H74O5,724.587451,[M+NH4],706.553626,18.51,0.04,122%,3957,58475104,74152000,128853104,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,0
TG,TG(18:2_16:0_18:1),C55H100O6,874.785817,[M+NH4],856.751991,22.29,0.05,177.70%,3506,0,#N/A,0,0,#N/A,#N/A,1076887,89207,427529,#N/A,#N/A
TG,TG(27:2_9:0)+O:(s),C39H70O7,668.54598,[M+NH4],650.512155,13.2,0.05,253.30%,3098,0,274875328,4435215,#N/A,59138,#N/A,#N/A,#N/A,361917,#N/A,5651080
TG,TG(27:3_16:0)+OO:(s),C46H82O8,780.634795,[M+NH4],762.60097,16.26,0.02,249.70%,3038,255297,#N/A,#N/A,#N/A,#N/A,0,246709,#N/A,438976,29095146,528564
LPS,LPS(18:3),C24H42N1O9P1,520.266995,[M+H],519.259719,1.96,0.02,217.30%,2530,39192276,#N/A,912694,0,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A
DG,DG(P-15:2_21:4),C39H64O4,597.487737,[M+H],596.480461,12.78,0.03,140.20%,2338,2328715,50914,#N/A,#N/A,1270921,66178,0,0,#N/A,2259014,#N/A
TG,TG(37:5_18:2)+OO:(s),C58H98O8,923.733446,[M+H],922.72617,18.94,0.05,287%,1607,#N/A,289707,489819,#N/A,0,#N/A,23472,0,19873444,0,0
DG,DG(25:6),C28H42O5,476.33705,[M+NH4],458.303225,4.31,0.05,242.40%,0,42415928,296795424,#N/A,21962,1706848,#N/A,#N/A,0,146434,1157512,#N/A
DG,DG(P-5:0_18:4),C26H42O4,436.342136,[M+NH4],418.30831,5.73,0.04,299.70%,0,0,0,274114336,#N/A,#N/A,1577,190897,13521,#N/A,0,13411
DG,DG(O-13:1_18:3),C34H60O4,555.438381,[M+Na],532.449161,9.01,0.02,299.80%,0,62874,1371,413143232,26553,#N/A,#N/A,#N/A,0,75995,70737,16892
DG,DG(27:8_6:0),C36H54O5,567.404401,[M+H],566.397125,7.86,0.06,156.70%,0,23815,#N/A,#N/A,74739,522349,#N/A,#N/A,#N/A,#N/A,71365,#N/A
DG,DG(15:2_18:2),C36H62O5,575.467001,[M+H],574.459725,9.82,0.04,282%,0,#N/A,130286,541730176,157780,607779,#N/A,#N/A,#N/A,407262,83331,16153
DG,DG(O-5:0_23:5),C31H52O4,506.420386,[M+NH4],488.38656,15,0.05,NaN,0,#N/A,#N/A,#N/A,#N/A,0,#N/A,0,#N/A,#N/A,#N/A,#N/A
DG,DG(O-13:0_17:2),C33H62O4,523.472087,[M+H],522.464811,14.22,0.02,130.60%,0,#N/A,#N/A,#N/A,322852,1160065,12371,1054380,#N/A,2837717,108670,#N/A
DG,DG(P-42:13),C45H62O4,684.498636,[M+NH4],666.464811,13.19,0.02,137.40%,0,0,#N/A,169636,#N/A,0,#N/A,192198,#N/A,#N/A,#N/A,#N/A
DG,DG(O-48:14),C51H74O4,768.592537,[M+NH4],750.558711,14.88,0.02,255.90%,0,263389,0,0,#N/A,#N/A,10852,9328922,0,#N/A,#N/A,#N/A
DG,DG(P-9:0_14:0),C26H50O4,449.360131,[M+Na],426.37091,9.38,0.03,87.70%,0,#N/A,#N/A,#N/A,#N/A,126341,#N/A,#N/A,#N/A,#N/A,104647,#N/A
DG,DG(16:0_18:2),C37H68O5,593.513952,[M+H],592.506676,14.49,0.05,225.10%,0,729261,#N/A,3482179,0,0,2915,#N/A,#N/A,0,103875,#N/A
DG,DG(16:0_18:1),C37H70O5,595.529602,[M+H],594.522326,15.63,0.07,166.90%,0,#N/A,#N/A,#N/A,132072,112901,59867,45288,0,317046,263965,1328954
DG,DG(22:0_18:3),C43H78O5,692.618751,[M+NH4],674.584926,17.24,0.02,105%,0,95367,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,63474,0,37849
DG,DG(O-24:2_14:0),C41H78O4,657.579232,[M+Na],634.590011,16.64,0.03,170.70%,0,#N/A,#N/A,710025,0,227168,11962,4744,154658,109450,0,#N/A
DG,DG(16:3_18:3),C37H60O5,585.451351,[M+H],584.444075,11.13,0.05,166%,0,#N/A,0,889707,2039310,625974,#N/A,#N/A,#N/A,9061078,#N/A,#N/A
DG,DG(16:3_18:3),C37H60O5,602.477901,[M+NH4],584.444075,11.13,0.05,82.30%,0,#N/A,0,355210,331642,517544,#N/A,#N/A,#N/A,525069,#N/A,#N/A
DG,DG(14:1_20:4),C37H62O5,609.448946,[M+Na],586.459725,11.01,0.03,153.30%,0,331549,#N/A,1402747,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
DG,DG(18:1_18:0),C39H74O5,640.587451,[M+NH4],622.553626,19.59,0.02,199.90%,0,#N/A,#N/A,125545464,#N/A,#N/A,0,44761,#N/A,#N/A,#N/A,#N/A
DG,DG(P-44:9),C47H74O4,703.565987,[M+H],702.558711,15.91,0.03,179%,0,315629,2239095,0,#N/A,0,0,#N/A,667768,#N/A,#N/A,#N/A
DG,DG(16:1_28:7),C47H76O5,743.558497,[M+Na],720.569276,15.45,0.03,145.40%,0,#N/A,#N/A,#N/A,0,#N/A,0,1326904,#N/A,2357927,#N/A,334229
DG,DG(27:3_22:6),C52H84O5,806.665702,[M+NH4],788.631876,15.94,0.03,196.70%,0,#N/A,#N/A,#N/A,4993,#N/A,#N/A,#N/A,#N/A,#N/A,538211,43658896
DG,DG(P-15:2_18:1),C36H64O4,583.469681,[M+Na],560.480461,12.57,0.1,299.80%,0,6715,64782,195894,28840036,1170024,0,0,0,#N/A,0,#N/A
DG,DG(15:0_16:0),C34H66O5,572.524851,[M+NH4],554.491025,14.32,0.04,223.50%,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,31582,#N/A,#N/A,501984512,149508
DG,DG(O-15:1_18:2),C36H66O4,580.529936,[M+NH4],562.496111,17.17,0.02,156.20%,0,36831444,2435505,18830012,#N/A,65106992,0,#N/A,#N/A,0,80966,#N/A
TG,TG(17:3_16:0_18:0),C54H98O6,860.770167,[M+NH4],842.736341,23,0.05,151.40%,0,430780,#N/A,92705,0,0,0,#N/A,0,293221,715556,#N/A
TG,TG(15:1_18:1_18:1),C54H98O6,860.770167,[M+NH4],842.736341,23.34,0.07,281.90%,0,30605288,272901696,151319,24789,0,15053,#N/A,0,708506,9644609,3789608
TG,TG(16:1_17:1_18:1),C54H98O6,860.770167,[M+NH4],842.736341,23.8,0.05,208.90%,0,#N/A,1042182,241667,#N/A,#N/A,0,0,#N/A,48255,5818,42855
TG,TG(12:0_16:1)+O:(s),C31H56O7,558.43643,[M+NH4],540.402604,8.14,0.05,74.80%,0,#N/A,144873,78330,#N/A,35150,#N/A,#N/A,#N/A,22919,110845,112911
TG,TG(8:0_8:0_16:1),C35H64O6,598.504116,[M+NH4],580.47029,10.61,0.1,141.40%,0,74371,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
TG,TG(31:2)+OO:(s),C34H60O8,614.462645,[M+NH4],596.428819,8.96,0.06,179.20%,0,0,#N/A,855672,0,#N/A,#N/A,#N/A,#N/A,71316,#N/A,2732717
TG,TG(16:2_16:1)+OO:(s),C35H60O8,626.462645,[M+NH4],608.428819,8.19,0.04,152.10%,0,1935372,#N/A,374353,0,0,#N/A,8795,#N/A,1067,1382020,528047
TG,TG(29:5_5:0)+OO:(s),C37H60O8,650.462645,[M+NH4],632.428819,5.95,0.03,260.40%,0,1074046,1264452,23347,16477,#N/A,#N/A,#N/A,#N/A,110800,183293024,#N/A
TG,TG(31:3_3:0)+OO:(s),C37H64O8,654.493945,[M+NH4],636.460119,6.55,0.01,234.50%,0,18357,#N/A,57296556,#N/A,#N/A,#N/A,0,#N/A,638,#N/A,2130517
TG,TG(2:0_18:2_18:2)+O:(s),C41H70O7,692.54598,[M+NH4],674.512155,14.61,0.05,148.80%,0,#N/A,#N/A,2575192,#N/A,#N/A,#N/A,0,#N/A,694748,#N/A,#N/A
TG,TG(22:5_5:0_14:2),C44H70O6,695.524516,[M+H],694.51724,11.6,0.07,131.70%,0,27531,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,344240,223717
TG,TG(8:0_16:0_18:1)+O:(s),C45H84O7,754.655531,[M+NH4],736.621705,18.77,0.06,290.80%,0,2730129,40421064,1910553,0,0,0,19030,0,1155591,1037771,247483
TG,TG(25:1_18:2)+O:(s),C46H82O7,764.639881,[M+NH4],746.606055,18.24,0.08,183%,0,5232,307587,#N/A,#N/A,#N/A,12725,#N/A,#N/A,9621213,229718,3687514
TG,TG(16:1_14:0_14:0),C47H88O6,766.691916,[M+NH4],748.658091,22.31,0.03,165.50%,0,431091,104669,6919226,#N/A,#N/A,48253,83092,#N/A,5131904,#N/A,548697
TG,TG(16:0_14:0_14:1),C47H88O6,766.691916,[M+NH4],748.658091,22.37,0.02,236.20%,0,117351,54353,6815064,#N/A,#N/A,#N/A,10570,#N/A,#N/A,#N/A,27267
TG,TG(8:0_18:1_18:1)+OO:(s),C47H86O8,796.666096,[M+NH4],778.63227,18.23,0.04,264.60%,0,#N/A,0,#N/A,#N/A,0,0,0,0,#N/A,1347703,#N/A
TG,TG(28:2_16:0)+OO:(s),C47H86O8,796.666096,[M+NH4],778.63227,18.32,0.06,175.90%,0,278510,5809727,0,0,#N/A,0,0,#N/A,3685015,1006161,#N/A
TG,TG(16:1_16:1_16:1),C51H92O6,818.723217,[M+NH4],800.689391,22.16,0.05,148.70%,0,22545,#N/A,17556,0,#N/A,0,30982,0,#N/A,116740,145860
TG,TG(16:0_15:1_16:1),C50H92O6,806.723217,[M+NH4],788.689391,22.89,0.05,197.50%,0,75650,#N/A,1141136,26968,0,0,5903,40709,1690048,#N/A,59796
TG,TG(14:0_16:0_18:1),C51H96O6,827.709912,[M+Na],804.720691,23.68,0.05,330.90%,0,57078,135846,47554,0,0,0,0,0,77424096,2010792,1093407
TG,TG(15:0_15:0_18:1)+D7:(s),C51H96O6,829.798454,[M7D+NH4],811.764628,23.52,0.03,203.90%,0,5331,18180,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,2001316,11460105
TG,TG(18:1_15:0_15:0)+D7:(s),C51H96O6,829.798454,[M7D+NH4],811.764628,23.62,0.03,237.90%,0,74230,#N/A,49709,#N/A,#N/A,#N/A,0,#N/A,21829998,597930,1385672
TG,TG(4:0_4:0_20:4)+OO:(s),C31H50O8,568.384394,[M+NH4],550.350569,2.14,0.03,294%,0,478465,1713086,1978,314571,#N/A,#N/A,51214,#N/A,171980,152908432,34712
TG,TG(18:3_15:2),C36H58O6,587.430616,[M+H],586.42334,5.3,0.03,140.80%,0,#N/A,0,2474931,3873450,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,43326
TG,TG(16:0_18:2),C37H66O6,624.519766,[M+NH4],606.48594,13.35,0.05,187%,0,826064,#N/A,0,0,#N/A,0,#N/A,#N/A,0,#N/A,373998
TG,TG(28:2_4:0)+OO:(s),C35H62O8,628.478295,[M+NH4],610.444469,16.46,0.05,250%,0,#N/A,#N/A,183082,#N/A,#N/A,0,#N/A,0,0,3598847,0
TG,TG(3:0_16:0_18:1),C40H74O6,668.582366,[M+NH4],650.54854,18.1,0.03,198.10%,0,#N/A,0,#N/A,0,#N/A,59744,0,0,#N/A,1083266,419918
TG,TG(16:0_12:0_14:0),C45H86O6,740.676266,[M+NH4],722.642441,22.11,0.03,114.20%,0,751427,444757,1644651,#N/A,0,#N/A,43518,#N/A,281540,1599386,2684166
TG,TG(16:1_18:1_18:1),C55H100O6,874.785817,[M+NH4],856.751991,18.07,0.05,NaN,0,0,0,0,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
TG,TG(18:1_16:0_18:2),C55H100O6,874.785817,[M+NH4],856.751991,21.22,0.06,251.20%,0,0,#N/A,1453781,29134,87139,#N/A,13575,30292,#N/A,0,#N/A
TG,TG(27:5)+O:(s),C30H46O7,536.35818,[M+NH4],518.324354,2.43,0.02,263.70%,0,34927,0,86014544,#N/A,#N/A,#N/A,348,#N/A,219574,#N/A,0
TG,TG(29:6_6:0)+O:(s),C38H60O7,629.441181,[M+H],628.433905,8.94,0.02,232.70%,0,237919,25055,#N/A,#N/A,1311911,#N/A,3034,#N/A,#N/A,#N/A,35848536
TG,TG(35:6)+O:(s),C38H60O7,629.441181,[M+H],628.433905,9.01,0.04,176.50%,0,155259,1265,427464,#N/A,#N/A,#N/A,0,47639,#N/A,0,#N/A
TG,TG(19:2_16:0)+OO:(s),C38H68O8,670.525245,[M+NH4],652.491419,10.98,0.04,235.90%,0,107895,#N/A,#N/A,62803,0,#N/A,#N/A,#N/A,437135,#N/A,19021290
TG,TG(3:0_16:0_18:1)+O:(s),C40H74O7,684.577281,[M+NH4],666.543455,17.65,0.06,221.80%,0,47752,#N/A,#N/A,#N/A,0,#N/A,#N/A,0,565581,454896,6437824
TG,TG(25:1_21:2)+OO:(s),C49H88O8,822.681746,[M+NH4],804.64792,18.07,0.04,168.40%,0,#N/A,79028,2964591,#N/A,#N/A,0,4492,#N/A,247216,684656,5330073
TG,TG(9:0_20:4_20:4)+O:(s),C52H84O7,838.655531,[M+NH4],820.621705,18.58,0.04,264.60%,0,#N/A,#N/A,#N/A,0,0,#N/A,0,0,0,#N/A,234479
TG,TG(13:0_20:4_20:4),C56H92O6,878.723217,[M+NH4],860.689391,21,0.04,183%,0,#N/A,0,#N/A,#N/A,0,0,#N/A,#N/A,26239,384489,874735
TG,TG(24:8_16:0_16:2)+OO:(s),C59H94O8,948.728696,[M+NH4],930.69487,17.2,0.03,120.30%,0,#N/A,#N/A,294061,#N/A,#N/A,#N/A,91995,#N/A,#N/A,114280,0
TG,TG(9:0_18:2)+O:(s),C30H52O7,542.40513,[M+NH4],524.371304,5.31,0.02,120.50%,0,#N/A,#N/A,#N/A,#N/A,150284,35893,#N/A,#N/A,#N/A,618121,1001993
TG,TG(2:0_15:0_18:1),C38H70O6,640.551066,[M+NH4],622.51724,16.69,0.05,223.60%,0,12700702,#N/A,#N/A,#N/A,0,#N/A,0,0,#N/A,#N/A,#N/A
TG,TG(2:0_18:1_18:2),C41H72O6,678.566716,[M+NH4],660.53289,18.1,0.05,300.50%,0,111827264,4689730,539939,0,0,0,0,#N/A,68908,48745,#N/A
TG,TG(54:5)+OO:(s),C57H100O8,930.775646,[M+NH4],912.741821,17.99,0.02,173.20%,0,#N/A,#N/A,340702,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A
TG,TG(30:3_26:2)+O:(s),C59H104O7,925.785482,[M+H],924.778206,18.66,0.05,195%,0,#N/A,#N/A,2144761,63842,0,0,#N/A,674707,#N/A,0,#N/A
TG,TG(24:1_16:0)+OO:(s),C43H80O8,725.592596,[M+H],724.58532,16.6,0.06,271%,0,7097684,1554153,0,#N/A,0,0,0,45663,0,0,0
TG,TG(2:0_18:1_23:5),C46H76O6,742.598016,[M+NH4],724.56419,18.68,0.04,191.50%,0,#N/A,#N/A,296286,0,0,0,#N/A,21538,86778,#N/A,23364
TG,TG(25:3_28:7),C56H88O6,879.647312,[M+Na],856.658091,8.42,0.03,217.60%,0,13091306,69444944,601288,#N/A,0,#N/A,0,#N/A,#N/A,0,#N/A
TG,TG(17:0_3:0_4:0),C27H50O6,488.394565,[M+NH4],470.36074,4.77,0.02,270.60%,0,75762,#N/A,129598752,#N/A,0,#N/A,0,#N/A,103868,2820160,2158390
TG,TG(25:5_2:0)+OO:(s),C30H46O8,552.353094,[M+NH4],534.319269,2.3,0.03,186.30%,0,100325,81508,#N/A,#N/A,750105,75536,7660,#N/A,0,#N/A,#N/A
TG,TG(27:7_6:0),C36H54O6,583.399316,[M+H],582.39204,3.66,0.07,244.70%,0,#N/A,#N/A,28604198,18865,3102530,#N/A,#N/A,0,870649,0,0
TG,TG(27:7_6:0),C36H54O6,600.425865,[M+NH4],582.39204,3.58,0.18,280.50%,0,#N/A,#N/A,20584192,0,145786,#N/A,#N/A,6513,0,0,0
TG,TG(O-6:0_7:0_20:5),C36H60O5,595.433296,[M+Na],572.444075,9.93,0.05,223.70%,0,#N/A,0,20638508,1433976,164191,#N/A,#N/A,#N/A,52236,#N/A,#N/A
TG,TG(21:6_6:0_6:0),C36H56O6,602.441515,[M+NH4],584.40769,6.27,0.03,252.20%,0,261419,#N/A,#N/A,6738381,1010010,158806,0,28889,25929,95776,0
TG,TG(22:6_5:0_6:0),C36H56O6,602.441515,[M+NH4],584.40769,6.8,0.07,159.60%,0,1043384,193955,#N/A,245549,#N/A,0,0,#N/A,292244,#N/A,0
TG,TG(P-4:0_9:0_21:6),C37H58O5,605.417646,[M+Na],582.428425,4.72,0.05,132.30%,0,#N/A,#N/A,383170,451709,#N/A,#N/A,0,#N/A,#N/A,66,104481
TG,TG(33:8)+O:(s),C36H52O7,614.40513,[M+NH4],596.371304,2.42,0.04,261%,0,0,59424,5687369,#N/A,0,4622,3618,#N/A,#N/A,#N/A,#N/A
TG,TG(27:7_6:0)+OO:(s),C36H54O8,632.415694,[M+NH4],614.381869,2.44,0.07,281.50%,0,0,0,429069664,#N/A,#N/A,#N/A,0,#N/A,0,1798468,29739
TG,TG(24:8_6:0_6:0)+O:(s),C39H58O7,656.45208,[M+NH4],638.418254,5.69,0.07,119.90%,0,460506,#N/A,1009987,1422379,2023469,#N/A,#N/A,#N/A,103370,68611,20781
TG,TG(43:12)+O:(s),C46H64O7,746.49903,[M+NH4],728.465205,6.9,0.04,157.90%,0,4206252,2702001,8599152,#N/A,#N/A,#N/A,54442,#N/A,0,182995,31867
TG,TG(32:5_2:0)+O:(s),C37H60O7,617.441181,[M+H],616.433905,10.44,0.05,188.80%,0,#N/A,15783,0,44268,#N/A,#N/A,121491,#N/A,0,0,0
TG,TG(O-12:1_6:0_18:1),C39H72O5,638.571801,[M+NH4],620.537976,18.91,0.05,NaN,0,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
TG,TG(17:1_25:2),C45H80O6,739.584711,[M+Na],716.595491,15.82,0.11,166.70%,0,0,4776110,#N/A,#N/A,3136376,#N/A,0,0,#N/A,322481,#N/A
TG,TG(16:0_10:0_18:2),C47H86O6,764.676266,[M+NH4],746.642441,21.46,0.03,241.70%,0,226275,1552059,#N/A,#N/A,#N/A,102920,28243,#N/A,30088,12922694,33567
TG,TG(12:0_16:1_16:1),C47H86O6,764.676266,[M+NH4],746.642441,21.54,0.03,204.80%,0,266425,1636036,152378,#N/A,#N/A,3083,46595,#N/A,7704328,1086250,83421
TG,TG(11:0_16:1_16:1)+OO:(s),C46H84O8,782.650446,[M+NH4],764.61662,18.36,0.04,276.30%,0,#N/A,#N/A,#N/A,0,0,2981,0,0,1023151,#N/A,18132
TG,TG(16:0_16:1_20:3),C55H98O6,872.770167,[M+NH4],854.736341,22.22,0.03,228.10%,0,#N/A,678423,#N/A,0,30290,0,118814,0,0,#N/A,#N/A
TG,TG(18:1_18:3_18:3)+O:(s),C57H96O7,893.722882,[M+H],892.715606,17.62,0.03,144.40%,0,373264,2481219,900694,51102,#N/A,#N/A,#N/A,#N/A,147473,#N/A,#N/A
TG,TG(18:2_18:2_18:3)+O:(s),C57H96O7,893.722882,[M+H],892.715606,17.72,0.05,139.10%,0,8920998,2299447,23156196,#N/A,#N/A,#N/A,#N/A,#N/A,547816,#N/A,#N/A
