Molecule List Name,Molecule,Molecule Formula,Precursor Mz,Precursor Adduct,Precursor Neutral Mass,Mean Best Retention Time,Stdev Best Retention Time,Cv Total Area,Allium_Ursinum_OE11-E4-P14POS Sum Total Area,Auricularia_Polytricha_OE21-4-F7POS Sum Total Area,Trichomonascus_vanleenenianus_OE21-4-E8F45POS Sum Total Area,Craterellus_Cornucopioides_OE21-4-F12POS Sum Total Area,Equisetum_Arvense_OE11-E4-P11POS Sum Total Area,Ginkgo_biloba_OE11-3-E4-P27POS Sum Total Area,Labilithrix_luteola_1B3R5D0E2 Sum Total Area,Paenibacillus_Alginolyticus_2B2R5DOE2 Sum Total Area,Rhodococcus_Sp_OE11-3-E4-A1POS Sum Total Area,Thalassiosira_weissflogii_P42POS Sum Total Area,Ulva_P56POS_20240924144544 Sum Total Area,Valonia_P52POS_20240924210008 Sum Total Area
TG,TG(18:2_16:0_18:1)+O:(s),C55H100O7,890.780731,[M+NH4],872.746906,20.47,0.06,204%,#N/A,3883183,46308824,7881398,#N/A,#N/A,5894,14225,#N/A,0,257897,#N/A
TG,TG(18:2_16:0_18:1)+O:(s),C55H100O7,895.736127,[M+Na],872.746906,20.48,0.11,172.20%,#N/A,6444392,20008452,3471774,#N/A,#N/A,0,5576,#N/A,0,25506,#N/A
TG,TG(16:0_18:0_18:3)+O:(s),C55H100O7,890.780731,[M+NH4],872.746906,21.01,0.05,190.40%,#N/A,691721,#N/A,47615468,#N/A,#N/A,6921,#N/A,#N/A,45093,10180270,958320
TG,TG(16:0_18:0_18:3)+O:(s),C55H100O7,895.736127,[M+Na],872.746906,21.1,0.04,196.30%,#N/A,5989627,46292200,1410829,#N/A,#N/A,#N/A,#N/A,#N/A,404762,1464755,200734
TG,TG(16:1_18:1_18:1)+O:(s),C55H100O7,890.780731,[M+NH4],872.746906,21.75,0.04,127%,#N/A,2085614,756341,1515590,#N/A,#N/A,76339,#N/A,#N/A,8422,174705,261
TG,TG(25:5_15:1_15:1),C58H98O6,891.743617,[M+H],890.736341,15.51,0.03,199.40%,#N/A,38273580,#N/A,#N/A,65707,0,#N/A,15411,#N/A,#N/A,#N/A,#N/A
TG,TG(51:3)+OO:(s),C54H98O8,892.759996,[M+NH4],874.72617,16.96,0.08,179.80%,#N/A,4342525,97970,#N/A,159936,98101,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
TG,TG(33:0_18:2)+OO:(s),C54H100O8,894.775646,[M+NH4],876.741821,19.56,0.03,200%,#N/A,#N/A,0,120771,#N/A,#N/A,0,#N/A,0,#N/A,#N/A,#N/A
TG,TG(18:2_18:2_18:2)+O:(s),C57H98O7,912.765081,[M+NH4],894.731256,20.12,0.05,87.90%,#N/A,#N/A,2940690,3348571,#N/A,#N/A,#N/A,0,#N/A,0,6270092,5426227
TG,TG(36:3_18:3)+O:(s),C57H98O7,895.738532,[M+H],894.731256,20.31,0.16,185.60%,#N/A,1325141,38587884,868353,#N/A,#N/A,#N/A,19139,#N/A,#N/A,#N/A,#N/A
